Series,Release,Game,Platform,Done
Resident Evil,2012,Resident Evil: Revelations,Nintendo 3DS,
River City,2019,River City Girls,Nintendo Switch,
River City,2022,River City Girls 2,Nintendo Switch,
Shadow Tactics,2016,Shadow Tactics: Blades of the Shogun,Microsoft Windows,
Shadow Tactics,2021,Shadow Tactics: Aiko's Choice,Microsoft Windows,
Shantae,2002,Shantae,Nintendo GBC,
Shantae,2010,Shantae: Risky's Revenge,Nintendo DS,
Shantae,2014,Shantae & The Pirate's Curse,Nintendo 3DS,Yes
Shantae,2016,Shantae: Half-Genie Hero,Nintendo Switch,
Shantae,2019,Shantae & The Seven Sirens,Nintendo Switch,
Shin Megami Tensei,1987,Digital Devil Story: Megami Tensei,Nintendo SNES,
Shin Megami Tensei,1990,Digital Devil Story: Megami Tensei II,Nintendo SNES,
Shin Megami Tensei,1992,Shin Megami Tensei,Nintendo SNES,
Shin Megami Tensei,1994,Shin Megami Tensei II,Nintendo SNES,
Shin Megami Tensei,2003,Shin Megami Tensei III: Nocturne,Nintendo Switch,Yes
Shin Megami Tensei,2013,Shin Megami Tensei IV,Nintendo 3DS,
Shin Megami Tensei,2016,Shin Megami Tensei IV: Apocalypse,Nintendo 3DS,
Shin Megami Tensei,2021,Shin Megami Tensei V,Nintendo Switch,Yes
Shin Megami Tensei Spin-Off,1994,Shin Megami Tensei If,Nintendo SNES,
Shin Megami Tensei Spin-Off,1997,Devil Summoner: Soul Hackers,Nintendo 3DS,Yes
Shin Megami Tensei Spin-Off,2009,Shin Megami Tensei: Strange Journey Redux,Nintendo 3DS,Yes
Shin Megami Tensei Spin-Off,2009,Shin Megami Tensei: Devil Survivor Overclocked,Nintendo 3DS,
Shin Megami Tensei Spin-Off,2011,Shin Megami Tensei: Devil Survivor 2 Record Breaker,Nintendo 3DS,
Shin Megami Tensei Spin-Off,2015,Tokyo Mirage Sessions FE Encore,Nintendo Switch,
Shin Megami Tensei Spin-Off,2022,Soul Hackers 2,Microsoft Windows,
Shovel Knight,2014,Shovel Knight: Treasure Trove,Nintendo 3DS,
Shovel Knight,2019,Shovel Knight Showdown,Nintendo Switch,Yes
Shovel Knight,2021,Shovel Knight Pocket Dungeon,Nintendo Switch,
Shovel Knight,2022,Shovel Knight Dig,Nintendo Switch,
Smash Bros,2018,Super Smash Bros Ultimate,Nintendo Switch,Yes
Sonic,1991,Sonic the Hedgehog,Sega Genesis,
Sonic,1992,Sonic the Hedgehog 2,Sega Genesis,
Sonic,1993,Sonic CD,Sega CD,
Sonic,1994,Sonic the Hedgehog 3 & Knuckles,Sega Genesis,
Sonic,1995,Knuckles' Chaotix,Sega 32X,
Sonic,2001,Sonic Advance,Nintendo GBA,
Sonic,2002,Sonic Advance 2,Nintendo GBA,
Sonic,2004,Sonic Advance 3,Nintendo GBA,
Sonic,2005,Sonic Rush,Nintendo DS,
Sonic,2007,Sonic Rush Adventure,Nintendo DS,
Sonic,2010,Sonic Colors,Nintendo DS,
Sonic,2011,Sonic Generations,Microsoft Windows,
Sonic,2017,Sonic Mania,Nintendo Switch,
Sonic,2022,Sonic Frontiers,Microsoft Windows,
Sonic Spin-Off,2003,Sonic Battle,Nintendo GBA,
Soulcalibur,2009,Soulcalibur: Broken Destiny,Sony PSP,Yes
Souls,2011,Dark Souls,Microsoft Windows,Yes
Souls,2014,Dark Souls II: Scholar of the First Sin,Microsoft Windows,
Souls,2016,Dark Souls III,Microsoft Windows,
Souls,2019,Sekiro,Microsoft Windows,
Souls,2022,Elden Ring,Microsoft Windows,
Spyro,1998hd,Spyro the Dragon,Microsoft Windows,
Spyro,1999hd,Spyro 2: Ripto's Rage!,Microsoft Windows,Yes
Spyro,2000hd,Spyro: Year of the Dragon,Microsoft Windows,
Star Wars,2019,Jedi: Fallen Order,Microsoft Windows,
Street Fighter,1998,Street Fighter Alpha 3,Arcade,Yes
Street Fighter,1999,Street Fighter III: 3rd Strike,Arcade,Yes
Street Fighter,2016,Street Fighter V,Microsoft Windows,Yes
Street Fighter Spin-Off,2001,Capcom vs SNK 2,Sega Dreamcast,Yes
Street Fighter Spin-Off,2012,Street Fighter X Tekken,Sony PSV,Yes
Streets of Rage,1991,Streets of Rage,Sega Genesis,Yes
Streets of Rage,1992,Streets of Rage 2,Sega Genesis,Yes
Streets of Rage,1994,Streets of Rage 3,Sega Genesis,Yes
Streets of Rage,2020,Streets of Rage 4,Nintendo Switch,Yes
Sukeban,2016,VA-11 HALL-A,Sony PSV,Yes
Tales,2021,Tales of Arise,Microsoft Windows,Yes
Teenage Mutant Ninja Turtles,1992,Teenage Mutant Ninja Turtles: The Hyperstone Heist,Sega Genesis,Yes
Teenage Mutant Ninja Turtles,1992,Teenage Mutant Ninja Turtles: Turtles in Time,Nintendo SNES,Yes
Teenage Mutant Ninja Turtles,1993,Teenage Mutant Ninja Turtles: Radical Rescue,Nintendo GB,Yes
Teenage Mutant Ninja Turtles,2022,Teenage Mutant Ninja Turtles: Shredder's Revenge,Nintendo Switch,
